center,split,n_patients,n_events,n_censored,event_rate,min_time,max_time,min_age,max_age,avg_age,event_rate_%
0,test,63,14.0,49,0.2222222238779068,76.0,3736.0,29.0,90.0,59.08,22.200000762939453
0,train,248,45.0,203,0.18145161867141724,64.0,4047.0,29.0,89.0,57.64,18.100000381469727
1,test,40,4.0,36,0.10000000149011612,187.0,8605.0,32.0,90.0,56.5,10.0
1,train,156,35.0,121,0.22435897588729858,78.0,8556.0,26.0,90.0,57.88,22.399999618530273
2,test,42,8.0,34,0.190476194024086,10.0,4159.0,36.0,90.0,62.69,19.0
2,train,164,14.0,150,0.08536585420370102,1.0,4354.0,29.0,90.0,58.28,8.5
3,test,33,3.0,30,0.09090909361839294,24.0,4052.0,26.0,75.0,53.09,9.100000381469727
3,train,129,16.0,113,0.12403100728988647,21.0,5062.0,27.0,85.0,56.51,12.399999618530273
4,test,33,2.0,31,0.06060606241226196,0.0,1642.0,40.0,89.0,64.55,6.099999904632568
4,train,129,7.0,122,0.05426356568932533,0.0,3409.0,34.0,90.0,63.73,5.400000095367432
5,test,11,1.0,10,0.09090909361839294,0.0,1476.0,44.0,82.0,60.73,9.100000381469727
5,train,40,2.0,38,0.05000000074505806,0.0,1900.0,29.0,90.0,53.85,5.0
0,all,311,59.0,252,0.1897106170654297,64.0,4047.0,29.0,90.0,57.93,19.0
1,all,196,39.0,157,0.19897958636283875,78.0,8605.0,26.0,90.0,57.6,19.899999618530273
2,all,206,22.0,184,0.10679611563682556,1.0,4354.0,29.0,90.0,59.18,10.699999809265137
3,all,162,19.0,143,0.11728394776582718,21.0,5062.0,26.0,85.0,55.81,11.699999809265137
4,all,162,9.0,153,0.0555555559694767,0.0,3409.0,34.0,90.0,63.9,5.599999904632568
5,all,51,3.0,48,0.05882352963089943,0.0,1900.0,29.0,90.0,55.33,5.900000095367432
Total,all,1088,151.0,937,0.13878676470588236,0.0,8605.0,26.0,90.0,58.56,13.9
