feature,VIF
feature_0,23.456575589578826
feature_1,25.420060350464514
feature_2,6.88297876486645
feature_3,10.378425191528953
feature_4,29.189261814734216
feature_5,17.74372091412248
feature_6,116.8633840040862
feature_7,1.4586892050389642
feature_8,1.5393539952956583
feature_9,1.9567854221187968
feature_10,2.233032740055083
feature_11,2.5612029087147556
feature_12,2.9055297613805737
feature_13,80421421917330.28
feature_14,41699996549726.81
feature_15,237031559335289.25
feature_16,140737488355328.0
feature_17,191642537334914.72
feature_18,3.8055136935032414
feature_19,12.545992281214456
feature_20,4.448885051818024
feature_21,1.6402773486842364
feature_22,4.5319734076505815
feature_23,4.36969082693192
feature_24,96.72302368698453
feature_25,36319351833633.03
feature_26,360287970189639.7
feature_27,36319351833633.03
feature_28,360287970189639.7
feature_29,69.008082892337
feature_30,69.1708692275705
feature_31,2.140932872977652
feature_32,7.5616601229199025
feature_33,3.0287235810363584
feature_34,81145939231900.83
feature_35,41317427774041.25
feature_36,163767259177108.94
feature_37,250199979298360.88
feature_38,183820392953897.78
